domain,evaluation_strategy,popularity_notion,algorithm,metric_type,user_group,comparison_group,value,p_value
music,eva_two,pop_four,HPF,GAP_TTEST,N/A,low-high,,0.0009917772806806
music,eva_two,pop_four,MostPop,GAP_TTEST,N/A,med-high,,3.6481035009314526e-08
music,eva_two,pop_four,UserKNN,GAP_TTEST,N/A,med-high,,0.1134775145518473
music,eva_two,pop_four,ItemKNN,GAP_TTEST,N/A,med-high,,0.000109658371156
music,eva_two,pop_four,PMF,GAP_TTEST,N/A,med-high,,0.4979383626003127
music,eva_two,pop_four,NMF,GAP_TTEST,N/A,med-high,,2.5394930040748943e-06
music,eva_two,pop_four,HPF,GAP_TTEST,N/A,med-high,,0.0243113093839695
music,eva_three,pop_one,MostPop,NDCG,low,N/A,0.0274566694167841,
music,eva_three,pop_one,UserKNN,NDCG,low,N/A,0.0115048487451984,
music,eva_three,pop_one,ItemKNN,NDCG,low,N/A,0.013383752537652,
music,eva_three,pop_one,PMF,NDCG,low,N/A,0.1347954377431084,
music,eva_three,pop_one,NMF,NDCG,low,N/A,0.0153126355443842,
music,eva_three,pop_one,HPF,NDCG,low,N/A,0.041345822390933,
music,eva_three,pop_one,MostPop,NDCG,med,N/A,0.0327970507196224,
music,eva_three,pop_one,UserKNN,NDCG,med,N/A,0.0071972678692248,
music,eva_three,pop_one,ItemKNN,NDCG,med,N/A,0.0064415044085112,
music,eva_three,pop_one,PMF,NDCG,med,N/A,0.3104701615929807,
music,eva_three,pop_one,NMF,NDCG,med,N/A,0.0111295860231676,
music,eva_three,pop_one,HPF,NDCG,med,N/A,0.0467996474884223,
music,eva_three,pop_one,MostPop,NDCG,high,N/A,0.0216759023904413,
music,eva_three,pop_one,UserKNN,NDCG,high,N/A,0.0019087866890431,
music,eva_three,pop_one,ItemKNN,NDCG,high,N/A,0.0010572722149955,
music,eva_three,pop_one,PMF,NDCG,high,N/A,0.355761326764071,
music,eva_three,pop_one,NMF,NDCG,high,N/A,0.0018642656016198,
music,eva_three,pop_one,HPF,NDCG,high,N/A,0.0263404020457864,
music,eva_three,pop_one,MostPop,GAP,low,N/A,-31.04306092462353,
music,eva_three,pop_one,UserKNN,GAP,low,N/A,-83.43915637516052,
music,eva_three,pop_one,ItemKNN,GAP,low,N/A,-84.84590301666255,
music,eva_three,pop_one,PMF,GAP,low,N/A,565.9682524024419,
music,eva_three,pop_one,NMF,GAP,low,N/A,-78.051719034617,
music,eva_three,pop_one,HPF,GAP,low,N/A,-70.42723398774851,
music,eva_three,pop_one,MostPop,GAP,med,N/A,-59.62065744827896,
music,eva_three,pop_one,UserKNN,GAP,med,N/A,-89.86566259604302,
music,eva_three,pop_one,ItemKNN,GAP,med,N/A,-90.76422802121648,
music,eva_three,pop_one,PMF,GAP,med,N/A,294.1794816568914,
music,eva_three,pop_one,NMF,GAP,med,N/A,-86.77349474164978,
music,eva_three,pop_one,HPF,GAP,med,N/A,-79.25634200850752,
music,eva_three,pop_one,MostPop,GAP,high,N/A,-72.0795644392424,
music,eva_three,pop_one,UserKNN,GAP,high,N/A,-92.95765458453606,
music,eva_three,pop_one,ItemKNN,GAP,high,N/A,-93.57091764515252,
music,eva_three,pop_one,PMF,GAP,high,N/A,171.9834513198195,
music,eva_three,pop_one,NMF,GAP,high,N/A,-90.66775397730828,
music,eva_three,pop_one,HPF,GAP,high,N/A,-82.29850612539612,
music,eva_three,pop_one,MostPop,NDCG_TTEST,N/A,low-med,,0.350858555353511
music,eva_three,pop_one,UserKNN,NDCG_TTEST,N/A,low-med,,0.1822061299991395
music,eva_three,pop_one,ItemKNN,NDCG_TTEST,N/A,low-med,,0.0871778978049575
music,eva_three,pop_one,PMF,NDCG_TTEST,N/A,low-med,,1.071525188416396e-43
music,eva_three,pop_one,NMF,NDCG_TTEST,N/A,low-med,,0.320465267151739
music,eva_three,pop_one,HPF,NDCG_TTEST,N/A,low-med,,0.4323999110646858
music,eva_three,pop_one,MostPop,NDCG_TTEST,N/A,low-high,,0.406120300384177
music,eva_three,pop_one,UserKNN,NDCG_TTEST,N/A,low-high,,0.0020417649526348
music,eva_three,pop_one,ItemKNN,NDCG_TTEST,N/A,low-high,,0.0014998311183474
music,eva_three,pop_one,PMF,NDCG_TTEST,N/A,low-high,,5.031323457427745e-44
music,eva_three,pop_one,NMF,NDCG_TTEST,N/A,low-high,,0.0006877643163865
music,eva_three,pop_one,HPF,NDCG_TTEST,N/A,low-high,,0.0433834342932591
music,eva_three,pop_one,MostPop,NDCG_TTEST,N/A,med-high,,0.061512508782028
music,eva_three,pop_one,UserKNN,NDCG_TTEST,N/A,med-high,,0.0038725310988629
music,eva_three,pop_one,ItemKNN,NDCG_TTEST,N/A,med-high,,0.0008604352153805
music,eva_three,pop_one,PMF,NDCG_TTEST,N/A,med-high,,0.000639112864451
music,eva_three,pop_one,NMF,NDCG_TTEST,N/A,med-high,,1.3362939677503044e-05
music,eva_three,pop_one,HPF,NDCG_TTEST,N/A,med-high,,0.0003829782121267
music,eva_three,pop_one,MostPop,GAP_TTEST,N/A,low-med,,0.0
music,eva_three,pop_one,UserKNN,GAP_TTEST,N/A,low-med,,0.0
music,eva_three,pop_one,ItemKNN,GAP_TTEST,N/A,low-med,,0.0
music,eva_three,pop_one,PMF,GAP_TTEST,N/A,low-med,,0.0
music,eva_three,pop_one,NMF,GAP_TTEST,N/A,low-med,,2.6971639307117776e-218
music,eva_three,pop_one,HPF,GAP_TTEST,N/A,low-med,,6.252667404989221e-67
music,eva_three,pop_one,MostPop,GAP_TTEST,N/A,low-high,,0.0
music,eva_three,pop_one,UserKNN,GAP_TTEST,N/A,low-high,,0.0
music,eva_three,pop_one,ItemKNN,GAP_TTEST,N/A,low-high,,0.0
music,eva_three,pop_one,PMF,GAP_TTEST,N/A,low-high,,0.0
music,eva_three,pop_one,NMF,GAP_TTEST,N/A,low-high,,6.281106e-318
music,eva_three,pop_one,HPF,GAP_TTEST,N/A,low-high,,2.170394760576097e-94
music,eva_three,pop_one,MostPop,GAP_TTEST,N/A,med-high,,0.0
music,eva_three,pop_one,UserKNN,GAP_TTEST,N/A,med-high,,0.0
music,eva_three,pop_one,ItemKNN,GAP_TTEST,N/A,med-high,,0.0
music,eva_three,pop_one,PMF,GAP_TTEST,N/A,med-high,,0.0
music,eva_three,pop_one,NMF,GAP_TTEST,N/A,med-high,,3.283736337829599e-252
music,eva_three,pop_one,HPF,GAP_TTEST,N/A,med-high,,5.113588724807479e-16
music,eva_three,pop_two,MostPop,NDCG,low,N/A,0.0322367630941693,
music,eva_three,pop_two,UserKNN,NDCG,low,N/A,0.0114537727116542,
music,eva_three,pop_two,ItemKNN,NDCG,low,N/A,0.0123322029483662,
music,eva_three,pop_two,PMF,NDCG,low,N/A,0.1276452509740287,
music,eva_three,pop_two,NMF,NDCG,low,N/A,0.0141858086267819,
music,eva_three,pop_two,HPF,NDCG,low,N/A,0.0487140052319228,
music,eva_three,pop_two,MostPop,NDCG,med,N/A,0.034488432654258,
music,eva_three,pop_two,UserKNN,NDCG,med,N/A,0.0074133978072087,
music,eva_three,pop_two,ItemKNN,NDCG,med,N/A,0.0059148774999557,
music,eva_three,pop_two,PMF,NDCG,med,N/A,0.3120051538180544,
music,eva_three,pop_two,NMF,NDCG,med,N/A,0.0117201132219431,
music,eva_three,pop_two,HPF,NDCG,med,N/A,0.045588289238038,
music,eva_three,pop_two,MostPop,NDCG,high,N/A,0.0118216629091492,
music,eva_three,pop_two,UserKNN,NDCG,high,N/A,0.0013114729086356,
music,eva_three,pop_two,ItemKNN,NDCG,high,N/A,0.0036887025299478,
music,eva_three,pop_two,PMF,NDCG,high,N/A,0.3583065368579297,
music,eva_three,pop_two,NMF,NDCG,high,N/A,0.0012195109228956,
music,eva_three,pop_two,HPF,NDCG,high,N/A,0.0226062939559494,
music,eva_three,pop_two,MostPop,GAP,low,N/A,-28.48737826284876,
music,eva_three,pop_two,UserKNN,GAP,low,N/A,-82.79387097624816,
music,eva_three,pop_two,ItemKNN,GAP,low,N/A,-84.23462065201012,
music,eva_three,pop_two,PMF,GAP,low,N/A,590.2948665965476,
music,eva_three,pop_two,NMF,GAP,low,N/A,-77.33624250173692,
music,eva_three,pop_two,HPF,GAP,low,N/A,-69.26144171793398,
music,eva_three,pop_two,MostPop,GAP,med,N/A,-59.14245318564456,
music,eva_three,pop_two,UserKNN,GAP,med,N/A,-89.74027461955018,
music,eva_three,pop_two,ItemKNN,GAP,med,N/A,-90.64410846437588,
music,eva_three,pop_two,PMF,GAP,med,N/A,298.0865793741006,
music,eva_three,pop_two,NMF,GAP,med,N/A,-86.62479746192231,
music,eva_three,pop_two,HPF,GAP,med,N/A,-78.95080782858146,
music,eva_three,pop_two,MostPop,GAP,high,N/A,-73.17587516822435,
music,eva_three,pop_two,UserKNN,GAP,high,N/A,-93.25723207026036,
music,eva_three,pop_two,ItemKNN,GAP,high,N/A,-93.86432683176996,
music,eva_three,pop_two,PMF,GAP,high,N/A,162.96503329636056,
music,eva_three,pop_two,NMF,GAP,high,N/A,-90.9789367812154,
music,eva_three,pop_two,HPF,GAP,high,N/A,-83.13110705285274,
music,eva_three,pop_two,MostPop,NDCG_TTEST,N/A,low-med,,0.7141833084311773
music,eva_three,pop_two,UserKNN,NDCG_TTEST,N/A,low-med,,0.2105875955330975
music,eva_three,pop_two,ItemKNN,NDCG_TTEST,N/A,low-med,,0.1010511014940941
music,eva_three,pop_two,PMF,NDCG_TTEST,N/A,low-med,,1.160253489042098e-49
music,eva_three,pop_two,NMF,NDCG_TTEST,N/A,low-med,,0.5324792198265187
music,eva_three,pop_two,HPF,NDCG_TTEST,N/A,low-med,,0.6694305903488511
music,eva_three,pop_two,MostPop,NDCG_TTEST,N/A,low-high,,0.0015069544558388
music,eva_three,pop_two,UserKNN,NDCG_TTEST,N/A,low-high,,0.0008389183691192
music,eva_three,pop_two,ItemKNN,NDCG_TTEST,N/A,low-high,,0.0299826444242064
music,eva_three,pop_two,PMF,NDCG_TTEST,N/A,low-high,,5.894668229754861e-49
music,eva_three,pop_two,NMF,NDCG_TTEST,N/A,low-high,,0.0002971765457455
music,eva_three,pop_two,HPF,NDCG_TTEST,N/A,low-high,,0.0008383517853492
music,eva_three,pop_two,MostPop,NDCG_TTEST,N/A,med-high,,5.14031293156593e-06
