domain,evaluation_strategy,popularity_notion,algorithm,metric_type,user_group,comparison_group,value,p_value
music,eva_three,pop_one,MostPop,GAP_TTEST,N/A,low-high,,0.0
music,eva_three,pop_one,UserKNN,GAP_TTEST,N/A,low-high,,0.0
music,eva_three,pop_one,ItemKNN,GAP_TTEST,N/A,low-high,,0.0
music,eva_three,pop_one,PMF,GAP_TTEST,N/A,low-high,,0.0
music,eva_three,pop_one,NMF,GAP_TTEST,N/A,low-high,,4.6835320410359263e-197
music,eva_three,pop_one,HPF,GAP_TTEST,N/A,low-high,,1.9823034130757328e-63
music,eva_three,pop_one,MostPop,GAP_TTEST,N/A,med-high,,0.0
music,eva_three,pop_one,UserKNN,GAP_TTEST,N/A,med-high,,0.0
music,eva_three,pop_one,ItemKNN,GAP_TTEST,N/A,med-high,,0.0
music,eva_three,pop_one,PMF,GAP_TTEST,N/A,med-high,,0.0
music,eva_three,pop_one,NMF,GAP_TTEST,N/A,med-high,,5.446998261946765e-140
music,eva_three,pop_one,HPF,GAP_TTEST,N/A,med-high,,7.376996078747578e-14
music,eva_three,pop_two,MostPop,NDCG,low,N/A,0.0440097954348114,
music,eva_three,pop_two,UserKNN,NDCG,low,N/A,0.0117282969027187,
music,eva_three,pop_two,ItemKNN,NDCG,low,N/A,0.0119957592778363,
music,eva_three,pop_two,PMF,NDCG,low,N/A,0.1125156273168088,
music,eva_three,pop_two,NMF,NDCG,low,N/A,0.0183817827827714,
music,eva_three,pop_two,HPF,NDCG,low,N/A,0.0483094824378549,
music,eva_three,pop_two,MostPop,NDCG,med,N/A,0.0463642402751992,
music,eva_three,pop_two,UserKNN,NDCG,med,N/A,0.0089969534453473,
music,eva_three,pop_two,ItemKNN,NDCG,med,N/A,0.007103928217952,
music,eva_three,pop_two,PMF,NDCG,med,N/A,0.2545431770283829,
music,eva_three,pop_two,NMF,NDCG,med,N/A,0.0136758686609192,
music,eva_three,pop_two,HPF,NDCG,med,N/A,0.0562042353403843,
music,eva_three,pop_two,MostPop,NDCG,high,N/A,0.0200446911802032,
music,eva_three,pop_two,UserKNN,NDCG,high,N/A,0.0012733498190112,
music,eva_three,pop_two,ItemKNN,NDCG,high,N/A,0.0042477510517617,
music,eva_three,pop_two,PMF,NDCG,high,N/A,0.2649849282019421,
music,eva_three,pop_two,NMF,NDCG,high,N/A,0.0035625914719069,
music,eva_three,pop_two,HPF,NDCG,high,N/A,0.0318027884824079,
music,eva_three,pop_two,MostPop,GAP,low,N/A,-9.50769285699699,
music,eva_three,pop_two,UserKNN,GAP,low,N/A,-80.78699300243946,
music,eva_three,pop_two,ItemKNN,GAP,low,N/A,-82.85153219178996,
music,eva_three,pop_two,PMF,GAP,low,N/A,431.3172072975364,
music,eva_three,pop_two,NMF,GAP,low,N/A,-71.90816958258077,
music,eva_three,pop_two,HPF,GAP,low,N/A,-58.17654703421309,
music,eva_three,pop_two,MostPop,GAP,med,N/A,-46.69263486896268,
music,eva_three,pop_two,UserKNN,GAP,med,N/A,-88.56744786922879,
music,eva_three,pop_two,ItemKNN,GAP,med,N/A,-89.87826333844988,
music,eva_three,pop_two,PMF,GAP,med,N/A,200.6878952809228,
music,eva_three,pop_two,NMF,GAP,med,N/A,-83.68464090629868,
music,eva_three,pop_two,HPF,GAP,med,N/A,-70.74161735599066,
music,eva_three,pop_two,MostPop,GAP,high,N/A,-65.33564461743099,
music,eva_three,pop_two,UserKNN,GAP,high,N/A,-92.5013348084404,
music,eva_three,pop_two,ItemKNN,GAP,high,N/A,-93.4281693843045,
music,eva_three,pop_two,PMF,GAP,high,N/A,97.78269006436544,
music,eva_three,pop_two,NMF,GAP,high,N/A,-88.91739477795504,
music,eva_three,pop_two,HPF,GAP,high,N/A,-76.195355357865,
music,eva_three,pop_two,MostPop,NDCG_TTEST,N/A,low-med,,0.7340784650832785
music,eva_three,pop_two,UserKNN,NDCG_TTEST,N/A,low-med,,0.4261813870349096
music,eva_three,pop_two,ItemKNN,NDCG_TTEST,N/A,low-med,,0.2262792793746323
music,eva_three,pop_two,PMF,NDCG_TTEST,N/A,low-med,,1.3301235568841278e-32
music,eva_three,pop_two,NMF,NDCG_TTEST,N/A,low-med,,0.2897183482490351
music,eva_three,pop_two,HPF,NDCG_TTEST,N/A,low-med,,0.2864453640696984
music,eva_three,pop_two,MostPop,NDCG_TTEST,N/A,low-high,,0.001181418049559
music,eva_three,pop_two,UserKNN,NDCG_TTEST,N/A,low-high,,0.0010713241719954
music,eva_three,pop_two,ItemKNN,NDCG_TTEST,N/A,low-high,,0.057669447730704
music,eva_three,pop_two,PMF,NDCG_TTEST,N/A,low-high,,2.917860089503719e-24
music,eva_three,pop_two,NMF,NDCG_TTEST,N/A,low-high,,0.0004425777589029
music,eva_three,pop_two,HPF,NDCG_TTEST,N/A,low-high,,0.0483647569581447
music,eva_three,pop_two,MostPop,NDCG_TTEST,N/A,med-high,,4.280763403503855e-06
